passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,1.55,-73.98768616,40.72425079,-73.97376251,40.74337769,7.5,0.5,0.5,0,0,8.8
3,1.2,-73.99156952,40.72693253,-74.00410461,40.72108078,7,0.5,0.5,0,0,8.3
1,2.4,-73.98191833,40.78344345,-73.95235443,40.7981987,10.5,0.5,0.5,0,0,11.8
1,7.3,-73.97312164,40.74355316,-73.91957092,40.83200073,21.5,0.5,0.5,0,0,22.8
1,0.4,-73.9829483,40.76620865,-73.98439026,40.76405334,3.5,0.5,0.5,0,0,4.8
1,0.71,-73.98249817,40.76401901,-73.97464752,40.75777817,5,0.5,0.5,0,0,6.3
1,1.6,-73.97216034,40.75934601,-73.98607635,40.74014664,7.5,0.5,0.5,1.2,0,10
1,0.52,-73.97267914,40.79328918,-73.97128296,40.79706192,4,0.5,0.5,0.9,0,6.2
3,6.23,-74.01148987,40.70272827,-73.95947266,40.76288223,18.5,0.5,0.5,3.8,0,23.6
1,5.88,-73.92871857,40.74388885,-73.85521698,40.72777939,75,0,0,5,0,80.3
1,3.48,-73.97440338,40.75531387,-73.98099518,40.72119522,15,0.5,0.5,3.1,0,19.4
1,1,-73.97702026,40.75225067,-73.97756195,40.76288223,5,0.5,0.5,3,0,9.3
1,4.85,-73.9910202,40.77024841,-73.98125458,40.72077942,19.5,0.5,0.5,4,0,24.8
1,1.11,-73.99394989,40.74130249,-73.9811554,40.74437714,6,0.5,0.5,1.3,0,8.6
2,1.6,-74.00710297,40.73452377,-73.98330688,40.73035431,9,0.5,0.5,2.06,0,12.36
1,0.8,-73.96234131,40.75907516,-73.95800018,40.76951599,5,0.5,0.5,0,0,6.3
3,1.17,-73.99810028,40.72270584,-73.98537445,40.73083878,5.5,0.5,0.5,1.2,0,8
1,4.4,-73.99004364,40.73695755,-73.95030975,40.77384186,16,0.5,0.5,3,0,20.3
1,0.7,-73.9720459,40.76399994,-73.9645462,40.77301407,4.5,0.5,0.5,0,0,5.8
2,1.32,-73.99137115,40.74979782,-73.97595978,40.74900055,8.5,0.5,0.5,0,0,9.8
1,1.22,-73.97652435,40.76441574,-73.9871521,40.75515366,7.5,0.5,0.5,0,0,8.8
1,0,-74.00200653,40.72984695,-74.00164032,40.73048782,52,0,0.5,0,0,52.8
1,1.36,-73.95059967,40.77576828,-73.96440887,40.76398087,6.5,0.5,0.5,0,0,7.8
1,1.8,-73.98234558,40.77684402,-73.97091675,40.80011368,7.5,0.5,0.5,1.75,0,10.55
1,1.4,-73.9751358,40.75242233,-73.98447418,40.76400375,8,0.5,0.5,1.86,0,11.16
2,2.2,-73.98303986,40.76785278,-73.95342255,40.7735405,11.5,0.5,0.5,2.56,0,15.36
1,1.7,-73.94753265,40.7827301,-73.96818542,40.79072571,8.5,0.5,0.5,1.95,0,11.75
2,2.1,-73.98716736,40.73312759,-73.98215485,40.75624847,10,0.5,0.5,2,0,13.3
1,3.83,-73.96496582,40.75581741,-73.98939514,40.74060822,16.5,0.5,0.5,1,0,18.8
2,0.95,-74.0042038,40.7321434,-73.99698639,40.72492981,6.5,0.5,0.5,0,0,7.8
1,0.84,-73.97764587,40.75214386,-73.98899841,40.75852203,5,0.5,0.5,1,0,7.3
1,9.63,-73.87310028,40.7741394,-73.98046875,40.78239059,28,0.5,0.5,10.15,5.33,44.78
1,3.88,-73.98859406,40.72269058,-73.95420837,40.77124405,14,0.5,0.5,3.62,0,18.92
1,2.92,-73.99417114,40.76140594,-73.95768738,40.77381134,14.5,0.5,0.5,0,0,15.8
1,20.21,-73.78199005,40.64466858,-73.92441559,40.84363174,54,0.5,0.5,0,5.33,60.63
1,1.72,-73.97135925,40.79546356,-73.98803711,40.77954865,8.5,0.5,0.5,1.8,0,11.6
1,3.8,-73.97875977,40.74469757,-73.96979523,40.78794861,14,0.5,0.5,3.05,0,18.35
2,2.14,-73.98509979,40.76204681,-73.98700714,40.73924255,9.5,0.5,0.5,0,0,10.8
1,2.7,-73.98538208,40.74986649,-73.99330139,40.72708511,11.5,0.5,0.5,2.55,0,15.35
2,0.63,0,0,0,0,4.5,0.5,0.5,0,0,5.8
6,5.46,-73.99057007,40.74446869,-73.93954468,40.6987915,20.5,0.5,0.5,4.2,0,26
1,18.6,-73.78326416,40.64864731,-73.9552536,40.80725861,52,0,0.5,5.81,5.33,63.94
1,4.26,-73.98200226,40.66715622,-74.02510071,40.63833618,14,0.5,0.5,0,0,15.3
2,3.8,-73.98756409,40.73586655,-73.9810257,40.77936172,14.5,0.5,0.5,2,0,17.8
1,17.09,-73.87474823,40.77407837,-73.96674347,40.61197281,47,0.5,0.5,9.5,0,57.8
2,1.41,-73.98000336,40.74333954,-73.97749329,40.72937012,6.5,0.5,0.5,1.4,0,9.2
4,4.17,-74.00057983,40.74625778,-73.95797729,40.78179169,15,0.5,0.5,3.1,0,19.4
1,6.39,-73.98162842,40.74707031,-73.9989624,40.69392014,20,0.5,0.5,3,0,24.3
1,23.34,-73.77668762,40.64531708,-73.90849304,40.88198853,63,0.5,0.5,0,5.33,69.63
1,5.64,-73.97862244,40.76227188,-73.90653229,40.77310181,19,0.5,0.5,3,0,23.3
2,2.6,-74.00762939,40.74292374,-73.98201752,40.76945114,9.5,0,0.5,0,0,10.3
1,8.9,-73.86339569,40.7695694,-73.95113373,40.77035141,26,0.5,0.5,6.52,5.33,39.15
1,5.5,-73.98955536,40.734375,-73.97234344,40.79628754,20,0.5,0.5,4.26,0,25.56
1,6.9,-73.9969635,40.74228287,-73.98325348,40.69350433,22.5,0.5,0.5,5.95,0,29.75
1,0.3,-74.00482941,40.73744202,-74.00127411,40.74098206,3.5,0.5,0.5,0.96,0,5.76
1,3.34,-73.98852539,40.74881363,-73.9524765,40.7781868,14.5,0.5,0.5,2,0,17.8
1,2.36,-73.9911499,40.69939041,-73.99429321,40.71235275,9.5,0.5,0.5,2,0,12.8
1,3,-74.00453949,40.72148132,-73.99134827,40.68864441,11,0.5,0.5,2.46,0,14.76
1,5.6,-74.00943756,40.72357178,-73.95613861,40.67123032,21,0.5,0.5,5.38,0,27.68
1,2.28,-73.96122742,40.77423477,-73.97618866,40.74897766,10,0.5,0.5,0,0,11.3
1,1.6,-73.98570251,40.74383163,-73.9828949,40.76200867,8,0.5,0.5,2,0,11.3
1,2,-73.98213959,40.76823044,-73.97323608,40.74823761,11.5,0.5,0.5,2.55,0,15.35
1,2.35,-73.98013306,40.75930405,-73.97057343,40.78672028,10,0.5,0.5,2.1,0,13.4
2,21.7,-73.77681732,40.64553833,-74.00587463,40.7088623,52,0,0.5,14.5,5.33,72.63
5,0.67,-73.97009277,40.76163864,-73.978508,40.76212311,5,0.5,0.5,0,0,6.3
2,0.6,-73.98940277,40.74720001,-73.98526764,40.74163055,4,0.5,0.5,0,0,5.3
2,0.7,-73.99417114,40.69011688,-73.98373413,40.68570709,4.5,0.5,0.5,1.15,0,6.95
1,1.3,-73.9756546,40.75202179,-73.97962189,40.73728561,6.5,0.5,0.5,0,0,7.8
1,0.56,-74.0103302,40.71966934,-74.00448608,40.7216568,4,0.5,0.5,0,0,5.3
1,0.66,-74.00247955,40.75597382,-73.99243164,40.75172043,4.5,0.5,0.5,1,0,6.8
1,0.5,-73.98770142,40.76491547,-73.99345398,40.75888062,5.5,0.5,0.5,1,0,7.8
1,1.3,-73.97707367,40.7629776,-73.99130249,40.75022125,9,0.5,0.5,0,0,10.3
4,0.54,-73.99027252,40.75699234,-73.98430634,40.76300812,4.5,0.5,0.5,0,0,5.8
1,2.54,-73.96888733,40.75782013,-73.96872711,40.78604889,10.5,0.5,0.5,2.2,0,14
1,0.71,-73.9756012,40.78687668,-73.97103119,40.7951622,4.5,0.5,0.5,0,0,5.8
2,0.7,-73.98957825,40.725811,-73.989151,40.71873856,4.5,0.5,0.5,1.1,0,6.9
1,1.01,-73.98641205,40.72237015,-73.98992157,40.73244095,7,0.5,0.5,0,0,8.3
5,2.62,-73.99068451,40.75043869,-73.98887634,40.72290802,11,0.5,0.5,0,0,12.3
1,5.4,0,0,0,0,18.5,0.5,0.5,3.95,0,23.75
1,0.91,-73.97692108,40.78082657,-73.96590424,40.77806091,5.5,0.5,0.5,0,0,6.8
2,1.5,-73.99271393,40.76830673,-73.97480011,40.77822495,7,0.5,0.5,1.65,0,9.95
5,2.2,-73.97887421,40.76509857,-73.97360992,40.79196167,9.5,0.5,0.5,2,0,12.8
1,1.38,-73.97502136,40.75666046,-73.9833374,40.7490654,7.5,0.5,0.5,1.2,0,10
1,1.34,-73.95983124,40.80828094,-73.97186279,40.79474258,6.5,0.5,0.5,0,0,7.8
1,3,-73.97502899,40.74446487,-73.95301056,40.7792778,11.5,0.5,0.5,0,0,12.8
2,2.08,-73.97492218,40.76174164,-73.96972656,40.78480911,9,0.5,0.5,1.9,0,12.2
1,0.85,-73.95897675,40.77162552,-73.94831085,40.77318573,5,0.5,0.5,1.1,0,7.4
1,1.3,-73.98162842,40.75234985,-73.96495056,40.75416946,8,0.5,0.5,0,0,9.3
1,1.13,-74.00793457,40.7403183,-73.99446869,40.73723602,6.5,0.5,0.5,1.4,0,9.2
5,1.62,-73.98827362,40.74849319,-73.98405457,40.73194122,7.5,0.5,0.5,0,0,8.8
1,3.5,-74.00784302,40.7149353,-73.95654297,40.71313858,13,0.5,0.5,2,0,16.3
1,0.5,-73.98100281,40.74451447,-73.97618866,40.74821472,4.5,0.5,0.5,1.7,0,7.5
1,18.29,-73.79264069,40.64499664,-74.0041275,40.72101593,52,0,0.5,10.4,0,63.2
4,1.44,-73.98979187,40.73423767,-73.97415161,40.74294662,8.5,0.5,0.5,1.8,0,11.6
4,2.3,-73.99255371,40.76992416,-74.00410461,40.74240875,10.5,0.5,0.5,0,0,11.8
1,6.8,-73.98967743,40.71920776,-73.94843292,40.79069138,21,0.5,0.5,1,0,23.3
1,1.65,-73.96640778,40.76116943,-73.9479599,40.77291107,7.5,0.5,0.5,0,0,8.8
2,4.52,-73.99169922,40.76977158,-73.99131775,40.7193985,17.5,0.5,0.5,2,0,20.8
1,10.45,-73.99580383,40.7321701,-74.03204346,40.61374283,30.5,0.5,0.5,3.2,0,35
1,1.54,-73.98301697,40.76115036,-74.0031662,40.75635147,7,0.5,0.5,1.5,0,9.8
5,0.7,-73.98847198,40.74523544,-73.9802475,40.74851608,5,0.5,0.5,1.1,0,7.4
1,1.2,-73.96551514,40.76279068,-73.95674133,40.77048874,7,0.5,0.5,2,0,10.3
1,2.13,-73.9909668,40.75058365,-73.98314667,40.72987366,9.5,0.5,0.5,3,0,13.8
1,6.69,-73.79044342,40.64390945,-73.86966705,40.67420959,20.5,0.5,0.5,0,0,21.8
1,0.8,-73.98038483,40.74930954,-73.98290253,40.73989868,5,0.5,0.5,1.26,0,7.56
2,9.2,-73.99015808,40.73864365,-73.9681778,40.6367569,29.5,0.5,0.5,6.15,0,36.95
